0,1
41,THERMOMETER
42,CERVICAL COLLAR
43,SPLINT
44,DIABETIC FOOT WEAR
45,KNEE BRACES (LONG/ SHORT/ HINGED)
46,KNEE IMMOBILIZER/SHOULDER IMMOBILIZER
47,LUMBO SACRAL BELT
48,NIMBUS BED OR WATER ORAIR BED CHARGES
49,AMBULANCE COLLAR
50,AMBULANCE EQUIPMENT
51,ABDOMINAL BINDER
52,PRIVATE NURSES CHARGES- SPE CIAL NURSING CHARGES
53,SUGAR FREE Tablets
54,"CREAMS POWDERS LOTIONS (Toiletries are not payable, only prescribed medical pharmaceuticals payable)"
55,ECG ELECTRODES
56,GLOVES
57,NEBULISATION KIT
58,"ANY KIT WITH NO DETAILS MENTIONED [DELIVERY KIT, ORTHOKIT,RECOVERY KIT, ETC]"
59,KIDNEY TRAY
60,MASK
61,OUNCE GLASS
62,OXYGEN MASK
63,PELVIC TRACTION BELT
64,PAN CAN
65,TROLLY COVER
66,"UROMETER, URINE JUG"
67,AMBULANCE
68,VASOFIX SAFETY
